movie_name,word_sum,token_sum
Informant-The,21136,21542
Ides-of-March-The,6338,6184
Cruel-Intentions,6419,6673
TMNT,7218,7443
Hanna,6954,7521
Tombstone,7508,7791
All-the-Kings-Men,11549,11409
Abyss-The,5261,5291
Star-Trek-First-Contact,3097,3027
Oblivion,9164,9257
Battle-of-Shaker-Heights-The,5367,5553
Darkman,10389,10955
American-Hustle,12240,12641
Mute-Witness,2431,2389
Ed-TV,10745,10362
Simone,9080,8983
Pokemon-Mewtwo-Returns,1,0
Logans-Run,4231,4100
Family-Man-The,10233,9789
Believer-The,7287,7301
Blade-Trinity,2826,2841
Island-The,5203,5139
Freddy-vs-Jason,5001,4920
12-Years-a-Slave,7884,8400
Mad-Max-2-The-Road-Warrior,3115,3253
Losers-The,5530,5664
Martian-The,6668,6794
Jacobs-Ladder,8368,8542
Cedar-Rapids,9854,10320
War-Horse,3954,4028
Kill-Your-Darlings,3054,3139
Insider-The,10854,10652
Duck-Soup,6199,5851
Blood-Simple,864,773
Hellraiser-3-Hell-on-Earth,3362,3102
Above-the-Law,8719,9123
Airplane,3864,3918
A-Few-Good-Men,11144,11808
Surrogates,8553,9031
Queen-of-the-Damned,4372,4295
Gran-Torino,10487,11188
Django-Unchained,18921,20444
Man-in-the-Iron-Mask,5387,5518
Artist-The,8,8
Fight-Club,13242,12999
Diner,7355,7718
Indiana-Jones-and-the-Last-Crusade,4526,4676
Indiana-Jones-and-the-Temple-of-Doom,2899,2865
Hellbound-Hellraiser-II,1695,1681
Majestic-The-(The-Bijou),7347,7275
Limitless,8312,8136
Creation,4865,5081
Lord-of-the-Rings-Return-of-the-King,908,902
Ninja-Assassin,3696,3851
Groundhog-Day,12489,13068
Drag-Me-to-Hell,9610,10245
Single-White-Female,6428,6193
Coraline,3118,3053
Austin-Powers-International-Man-of-Mystery,6985,7440
Jacket-The,7102,7188
Airplane-2-The-Sequel,4904,5067
Being-Human,12898,11853
French-Connection-The,3455,3631
Election,9575,9781
Enough,8766,8838
Manhunter,9393,9550
Color-of-Night,12155,11800
Sting-The,5361,5726
City-of-Joy,13996,14701
Fantastic-Mr-Fox,7401,7970
Master-The,11686,11626
Burn-After-Reading,6834,6378
Deception,12457,12689
Prom-Night,2802,2812
Battle-Los-Angeles,8322,8848
Intolerable-Cruelty,8238,8411
Moonrise-Kingdom,2823,2870
Debt-The,3860,3882
Mariachi-El,839,849
Hard-Rain,1403,1412
Megamind,6615,6717
His-Girl-Friday,16329,16359
Superbad,9074,9234
Wolf-of-Wall-Street-The,12307,12962
Pirates-of-the-Caribbean,4482,4455
Twins,11473,11294
Good-Will-Hunting,8759,9045
Autumn-in-New-York,8895,8785
Apocalypse-Now,6989,6734
Friday-the-13th-Part-VIII-Jason-Takes-Manhattan,1957,1966
Piano-The,3189,3274
Men-in-Black-3,12456,12453
Postman-The,7379,7502
Boyhood,15869,15989
Double-Indemnity,10073,10403
Ladykillers-The,8688,8835
Marty,7293,7494
Fruitvale-Station,4344,4480
Woodsman-The,2543,2544
Beloved,10602,10531
