movie_name,word_sum,token_sum
Cirque-du-Freak-The-Vampires-Assistant,12401,13371
Highlander,3586,3812
Charade,8586,8242
Cherry-Falls,2726,2831
Rise-of-the-Guardians,3777,3957
Prestige-The,7237,7485
Seventh-Seal-The,3473,3564
Minis-First-Time,10901,11044
Point-Break,6741,6895
Nightbreed,0,0
Breakfast-Club-The,2798,2775
Hall-Pass,12864,13340
Her,9862,9903
Metro,6302,6368
Grifters-The,4618,4710
Gone-in-60-Seconds,6175,5620
Moon,1139,1164
Pulp-Fiction,7281,7751
When-a-Stranger-Calls,2231,2266
Total-Recall,3561,3457
Gangs-of-New-York,10828,11043
Things-My-Father-Never-Taught-Me-The,776,794
My-Week-with-Marilyn,11100,11939
Do-The-Right-Thing,2493,2636
Rear-Window,4877,4810
Citizen-Kane,12121,12344
Perfect-Creature,1993,2064
Alien-vs-Predator,2352,2408
Ugly-Truth-The,9956,10068
Eagle-Eye,15600,15423
Rocky-Horror-Picture-Show-The,2532,2654
As-Good-As-It-Gets,10947,10293
Frances,10733,10585
Malcolm-X,9656,10057
Fear-and-Loathing-in-Las-Vegas,12122,12309
Man-on-the-Moon,8267,8172
Tristan-and-Isolde,2092,2162
Pianist-The,2913,3081
Heat,6491,6699
Grand-Hotel,10379,9340
Sexual-Life,0,0
Tourist-The,2657,2668
Next-Friday,3274,3382
Bridesmaids,15885,16360
Quantum-Project,743,737
Larry-Crowne,6041,6435
Panic-Room,1356,1297
Tall-in-the-Saddle,6026,5839
American-Graffiti,5856,5967
Indiana-Jones-and-the-Raiders-of-the-Lost-Ark,3298,3391
Back-up-Plan-The,8028,8118
Dear-White-People,3850,3946
House-of-1000-Corpses,2721,2705
GI-Joe-The-Rise-of-Cobra,7663,7944
Aliens,3465,3550
Beasts-of-the-Southern-Wild,2703,2821
Garden-State,12358,12500
Dark-City,3257,3121
Extract,8929,8928
Up-in-the-Air,9276,9213
Legion,7480,7764
Sister-Act,8043,8115
X-Men-Origins-Wolverine,6378,7062
Little-Men,4206,4448
Imaginarium-of-Doctor-Parnassus-The,6623,6314
Hannah-and-Her-Sisters,8849,8760
Sweet-Smell-of-Success,11592,11516
Judge-Dredd,8971,9296
Hackers,4494,4694
Zootopia,7755,7923
Hospital-The,9132,9621
I-Love-You-Phillip-Morris,9520,9847
Donnie-Brasco,15541,16470
Klute,7980,7827
Lake-Placid,3952,3978
Tropic-Thunder,11609,12034
Win-Win,8477,8838
Chasing-Sleep,83,147
Lone-Star,4927,5121
Thor,9949,10513
Hellraiser-Hellseeker,4433,4442
Star-Wars-Return-of-the-Jedi,3428,3619
Wall-E,1500,1438
Escape-From-New-York,1903,2012
Big-Blue-The,5256,5114
Fast-Times-at-Ridgemont-High,4446,4495
Reader-The,3165,3236
Nick-of-Time,4902,4930
Leviathan,2603,2621
Go,4616,4726
Big-Lebowski-The,9337,9820
Newsies,12216,12017
Music-of-the-Heart,8213,8153
Tinker-Tailor-Soldier-Spy,3826,3987
JFK,25097,26573
Sugar,4025,4073
Easy-A,9344,9746
Wonder-Woman,6382,6404
Die-Hard-2,8375,8724
Get-on-Up,8533,8884
TRON,3387,3254
Broken-Arrow,10426,10960
Belle,5893,5966
Reindeer-Games,7229,7123
Face-Off,6039,5728
187,5758,5603
Fifth-Element-The,6672,6385
17-Again,6672,6873
Proposal-The,12436,13158
Dark-Star,1571,1628
Adaptation,6884,7130
Eastern-Promises,3160,3246
Blue-Velvet,6543,6663
Taxi-Driver,6084,6221
Sessions-The,7018,7140
Starship-Troopers,6917,6923
Burning-Annie,9531,9668
Source-Code,12328,12849
The-Rage-Carrie-2,8952,9397
ET,1,2
Descendants-The,10438,10685
LA-Confidential,5823,6227
Hitchcock,6388,6551
Bad-Boys,13412,13938
Break,201,189
Book-of-Eli-The,4882,4918
Sleepy-Hollow,4690,4705
Bad-Day-at-Black-Rock,2725,2673
Haunting-The,2082,2084
Casino,28844,29075
Taking-Sides,6708,7090
Very-Bad-Things,6173,6166
Living-in-Oblivion,5665,5800
Birdman,8031,8058
Affliction,5746,6007
Croupier,3976,4062
Shakespeare-in-Love,5884,6444
Ninotchka,14214,14180
Revenant-The,2948,3038
Death-at-a-Funeral,5566,5772
American-Gangster,6409,6575
Bad-Teacher,8833,9272
Gamer,1856,1824
Slither,3808,3860
Godfather-Part-II,10674,10905
American-Sniper,5797,5958
