movie_name,char,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
10 Things I Hate About You,Kat,0.5922628085949896,0.46234334567352076,0.38923073267621733,0.3669076370343267,0.8212903742399011
10 Things I Hate About You,Patrick,0.5230252913863698,0.5379340487502461,0.3490054737862848,0.42675060810688625,0.7465688358441943
12 Monkeys,Astrophysicist,0.5728621101166068,0.28602082044807103,0.522586683382,0.43309657950470964,0.6585959541210822
12 Monkeys,Cole,0.4532075350548984,0.6277563691752877,0.46240506242394763,0.4133539327211785,0.777610329972346
12 Monkeys,Dr. fletcher,0.48323923812032155,0.3622875238379089,0.48924448035704904,0.4904184751180342,0.7809513200635878
12 Monkeys,Fale,0.40545081964837804,0.44125295652303603,0.3726765709104908,0.3837090669799184,0.9084206671518906
12 Monkeys,Jeffrey,0.3472283026838485,0.5725670097880803,0.4336427933274014,0.36954988510703746,0.8885452410795568
12 Monkeys,Railly,0.4637427915435019,0.5,0.4610438102245448,0.45977952727641597,0.6192269513111591
12 Years a Slave,Bass,0.4688345182531535,0.4649529101664622,0.4051020518128942,0.3989039676084298,0.7704447793521862
12 Years a Slave,Epps,0.4853908504118267,0.3045842498050161,0.38700674227128967,0.3869357416334386,0.7902210192392969
12 Years a Slave,Ford,0.3815984477606709,0.48140677151434536,0.48781821082750315,0.4237385594656576,0.7571306445794254
12 Years a Slave,Solomon,0.4771430626558458,0.4402673702700402,0.5979946265240836,0.5262637614017732,0.8247191902873424
12 and Holding,Jacob,0.6318067304672483,0.6775570936697711,0.4422140001654069,0.4244547010825554,0.7054832863205798
12 and Holding,Malee,0.6064073468545391,0.6703705749238896,0.5845657493842896,0.5384284121057754,0.6849444042393621
127 Hours,Aron,0.44914400562694035,0.5092900622633131,0.43238382893880506,0.42532640539500444,0.872395325983964
127 Hours,Kristi,0.5374351110582243,0.31497852729090897,0.5759826497203896,0.4119841919128534,0.8520971772481553
127 Hours,Megan,0.5280038872046449,0.33977961676700086,0.5121615362550916,0.41926917689571414,0.7968523391472316
1492 Conquest of Paradise,Columbus,0.4872431776634859,0.46256745875871974,0.5421315329433802,0.46841455305800833,0.6877930542866222
1492 Conquest of Paradise,Marchena,0.4839659979214847,0.4174259077714621,0.4827178359124222,0.5,0.6649504348998035
1492 Conquest of Paradise,Sanchez,0.484266431333257,0.388141428968492,0.5124455278418939,0.44019532406375284,0.6944686069903808
15 Minutes,Eddie,0.4919263696954064,0.4727331240433647,0.3967740660314187,0.44240641059460795,0.814474156127935
15 Minutes,Emil,0.39199198044034533,0.5629496317529299,0.3997200843261264,0.4358509881633633,0.7373014819100009
15 Minutes,Jordy,0.5599008872417927,0.3666439339520709,0.4173751253673626,0.4523143240064942,0.7942080510220241
17 Again,Ed,0.4602277879385776,0.6826212429719597,0.3757247655677733,0.4287918322376565,0.7772412121051177
17 Again,Mike,0.6245889381076498,0.5609378626711815,0.43058396192447435,0.465345891101829,0.8439839343717854
17 Again,Scarlet,0.5584477789881176,0.5503249613399558,0.44680929354872423,0.5423712967690447,0.7414154893097412
187,Ellen,0.5453163402532659,0.5502851510697085,0.49456326184912486,0.46647152786090523,0.6997778396476204
187,Trevor,0.5526837608673545,0.35639048439543597,0.4397055615460859,0.4343106718278222,0.7193961500702237
2001 A Space Odyssey,Bowman,0.35538514332132715,0.351524629910788,0.4651602951218794,0.49041983865594807,0.6612136062055151
2001 A Space Odyssey,Bowman and poole,0.5266352378094725,0.44893366458869355,0.48995895133334966,0.39017129502350356,0.535662143974509
2001 A Space Odyssey,Bowman in command,0.2835091706792523,0.2797113578677282,0.48436928217782793,0.44656992549303026,0.548610687476381
2001 A Space Odyssey,Child,0.5727805469111034,0.42191464370268816,0.6185714890677408,0.533710367255674,0.37382095864154097
2001 A Space Odyssey,Co-pilot,0.5,0.26564669616991016,0.6036682062527795,0.553063782794574,0.7005138815826816
2001 A Space Odyssey,Continued,0.35669687115292514,0.29596995833245976,0.3756446507448248,0.3807307939434637,0.7389118789485033
2001 A Space Odyssey,Elena,0.3310300919731042,0.28903003035427094,0.5493049549336421,0.5704061267827557,0.7568509551151527
2001 A Space Odyssey,Floyd,0.4099475484866889,0.3864586783518897,0.5744668205663406,0.6161618468628377,0.7446179800309942
2001 A Space Odyssey,Hal,0.3865920270204927,0.4409213284183337,0.4309552508805179,0.5249287219769803,0.6785902890737973
2001 A Space Odyssey,Halvorsen,0.3300551310997429,0.15964096024452767,0.5189668721794112,0.5144147389867725,0.7649887386012356
2001 A Space Odyssey,Michaels,0.29057785496768956,0.1767903953003331,0.4436951249950953,0.4327162842909091,0.8505139631000063
2001 A Space Odyssey,Miller,0.5,0.32843613655105264,0.5383704498817047,0.5465421629113333,0.5793127819458488
2001 A Space Odyssey,Mission control,0.4307006016456728,0.24086915305765869,0.4921146830928593,0.48708894645493267,0.6917680988927402
2001 A Space Odyssey,Narrator,0.31187124520379145,0.35857402982035363,0.47716039429621243,0.45327801068077606,0.9014701548328082
2001 A Space Odyssey,Operator,0.6009984835780342,0.3625891973612431,0.6602588456965752,0.5627014656690913,0.7574982210715704
2001 A Space Odyssey,Photographer,0.45390377297148765,0.3223344906699459,0.5,0.5157652828319444,0.7728181466061775
2001 A Space Odyssey,Pilot,0.48887974892291536,0.24970808500541541,0.6185646357027117,0.6106335296590945,0.5582937262232852
2001 A Space Odyssey,Poole,0.4028075831772928,0.25137522140055213,0.4944288044479483,0.5062420058018348,0.757837176053237
2001 A Space Odyssey,Poole walks to the,0.3304783287603268,0.2794041338457953,0.48677682613538686,0.3511327164956318,0.614794986285544
2001 A Space Odyssey,Simonson,0.32941241062983045,0.3411076094357057,0.4456171192579351,0.3748866928903191,0.7549418876707721
2001 A Space Odyssey,Smyslov,0.38540520881855594,0.2609328226291913,0.4487961923574826,0.4741396229822525,0.7897297401666757
2001 A Space Odyssey,Stewardess one,0.4948135374892447,0.3767039599293182,0.5339554929559978,0.47358654132347366,0.6295666587124846
2001 A Space Odyssey,Vision phone procedure for,0.4127082592151986,0.22027573914966467,0.5777741294297563,0.4608725452280438,0.5552581117541517
2001 A Space Odyssey,Vision sales girl,0.5,0.3905748845882383,0.6171286906722881,0.5366522401913376,0.6546383420301348
2012,Adrian,0.442113623287039,0.3188999393228624,0.5316065028566617,0.513396847712324,0.7398612980655735
2012,Anheuser,0.5512018655619889,0.27706451928413417,0.5284742321459863,0.5,0.7418228721055707
2012,Gordon,0.5812604258455036,0.5387969059121861,0.5346364529747153,0.44121225316316626,0.8554733814296057
2012,Jackson,0.5296877211439402,0.48238521931648665,0.5673627532070006,0.5085367406305453,0.8018118249424518
2012,Kate,0.5059423757470223,0.4943011508386887,0.5600381432773015,0.4929337360024364,0.7515533225231159
2012,Yuri,0.5170304137875419,0.34180945933639123,0.4637559235613162,0.40480830946819296,0.734838715610461
28 Days Later,Frank,0.4784643126984525,0.4685257898164449,0.5411560538981242,0.5310429323539952,0.600535403140324
28 Days Later,Jim,0.41393354277458266,0.6109987129616604,0.4747731404922617,0.48528949244964514,0.6951544534875234
28 Days Later,Selena,0.4093682779193736,0.5860917845858205,0.45300817606183313,0.43146030971661004,0.6089117124565899
30 Minutes or Less,Dwayne,0.5105934588605829,0.5874802975341062,0.3676535511713731,0.4080490073421663,0.7758964690691387
30 Minutes or Less,Will,0.5878779182583251,0.5410069699889146,0.3897746155854479,0.42693634471357783,0.7754386839642704
42,Durocher,0.5554226416662709,0.24129849645819665,0.4496131286602358,0.47989018058952515,0.6823577783815913
42,Jack,0.45373245234390336,0.33548072903305715,0.4708194259163461,0.4654821783118761,0.6107926785984684
42,Parrott,0.5486288978841891,0.2630511083816153,0.41792984014023465,0.428091416330091,0.6825583867735695
42,Rachel,0.4290399891523718,0.43861884071413276,0.5357302815836444,0.48626817061103506,0.6970029419658413
42,Reese,0.517216833793531,0.397982468592512,0.5,0.4384230041358665,0.6459764474178179
42,Rickey,0.5261086789080583,0.2952651519909827,0.4061256619926181,0.4661037175266448,0.6660770067456125
42,Smith,0.5227935278041859,0.26498138266975807,0.4469495274886972,0.43703001357983146,0.7059730537795039
44 Inch Chest,Archie,0.5,0.5890824491312214,0.45525348821331585,0.4032090270661048,0.8193282876308287
44 Inch Chest,Mal,0.5,0.4859225334318205,0.3378034101816144,0.37020608146237655,0.7085026312351936
50 50,Adam,0.5255883388429343,0.6897402459525396,0.5,0.48823465138453165,0.772548866785921
50 50,Rachel,0.4753443015229979,0.631713193461177,0.5337926078537029,0.4726802168343801,0.7632069840865584
50 50,Seth,0.5721106565437147,0.5737065236937838,0.44658747433672485,0.39074318051079926,0.8182062891321061
500 Days of Summer,Summer,0.5530636977177746,0.5830120437431596,0.48955027736186063,0.5340474713544477,0.7458878077803202
500 Days of Summer,Tom,0.6387394957839327,0.6482288978907103,0.49041227064243165,0.46515372562160745,0.7656355656716384
8MM,Eddie,0.40949061708717394,0.486116879922727,0.3637507086549732,0.34682957968160916,0.8087986817015784
8MM,Welles,0.45731312755139386,0.5802709481815788,0.475733975120446,0.4852766789768136,0.772405561909211
A Few Good Men,Jo,0.6241276267000005,0.24750960645142767,0.5327960212306354,0.5172924182783065,0.685120636223797
A Few Good Men,Kaffee,0.5754667387971585,0.2929047649231935,0.48123124707029963,0.46454902304123336,0.757124105291785
A Most Violent Year,Abel,0.5243964845780555,0.5941097784692614,0.4725220263104325,0.5344705289882644,0.6829106508646897
A Most Violent Year,Andrew walsh,0.6449654018925396,0.4362840988681652,0.5,0.5097307332661241,0.6950416875325112
A Most Violent Year,Anna,0.5559733897355549,0.5159395085287997,0.5226166387117896,0.5463338472954126,0.681374207269073
A Prayer Before Dawn,Billy,0.4239830004823418,0.5444574759240751,0.3859589704557834,0.42301526058955924,0.6144106533190851
A Prayer Before Dawn,Officer pi sit,0.4561156931856218,0.40766062553099175,0.4434301236732508,0.40754415353583334,0.7478620127452548
A Scanner Darkly,Bob arctor,0.4378866921531833,0.6342077354965435,0.3806329113505234,0.37905290729291113,0.8619760575179114
A Scanner Darkly,Jim barris,0.3923920455882717,0.43886192304852306,0.4572553345480619,0.3642364094378219,0.8361217344437254
A Serious Man,Arthur,0.5162544300498553,0.4802009963355208,0.4325881680951855,0.39203238928797673,0.772806282751655
A Serious Man,Danny,0.4132019107066599,0.37634881253410285,0.36876940053274515,0.371305855040281,0.6778294026576268
A Serious Man,Don,0.4838203045345049,0.40974629760286213,0.5,0.4748685491298284,0.7481569450445575
A Serious Man,Larry,0.5,0.4638416616822931,0.5106648415316816,0.543657815111866,0.8045848706008509
A Serious Man,Sarah,0.4850258926435178,0.5158037628037903,0.5104259327729064,0.4143396516694368,0.7110696728965649
A Serious Man,Voice,0.4841939823897598,0.28526859198055887,0.4846211490451118,0.40791617034408906,0.8728657899516542
Above the Law,Fox,0.40417137289361665,0.3306084483718682,0.37903917540482,0.3759333873702498,0.8072378656927337
Above the Law,Jackson,0.5,0.3642693739071626,0.4809907468193114,0.5367093807681519,0.758600172892543
Above the Law,Nico,0.46866385089839185,0.4190185959473798,0.3777075576469284,0.40506114727886616,0.8783975584402427
Above the Law,Zagon,0.43516716687685336,0.33325308909336765,0.3955675446710681,0.35408329054445425,0.7535591611488267
Absolute Power,Luther,0.5998543171375741,0.5314751161596655,0.4591762805883014,0.5196135709130277,0.7862501764049233
Absolute Power,Seth,0.5777442933442507,0.390297887750904,0.5616400740222038,0.5354181145491493,0.7692262217080076
Abyss,Bud,0.5375222261193874,0.47621503379775604,0.5333335805440045,0.4267796238712727,0.7594724905397761
Abyss,Lindsey,0.4603657271410365,0.43734602971942177,0.45006987411182303,0.45674437396260475,0.8154159121203617
Adaptation,Kaufman,0.4648234217273536,0.7101079522021155,0.3857973464942456,0.3497013789715133,0.8952777870915225
Adaptation,Orlean,0.4899511858463544,0.5,0.4407663905136812,0.3426328941341681,0.8690838453736258
Adjustment Bureau,Charlie,0.5277085218334401,0.3723496028706936,0.49078599203849527,0.5268080602333918,0.7153135792879587
Adjustment Bureau,David,0.545204336452801,0.5720160954055575,0.4527673013256249,0.5092511308186355,0.8345528557594052
Adjustment Bureau,Elise,0.5887576543128957,0.5408462969788961,0.5,0.5114204908545606,0.8025373472857821
Adjustment Bureau,Harry,0.4798222087640096,0.48989184198800045,0.487262419216581,0.5,0.8024940978806117
Adjustment Bureau,Richardson,0.5882316472156635,0.5,0.5,0.5,0.845939876047535
Adjustment Bureau,Woman,0.6054987883136802,0.4649197943306926,0.4665058847418913,0.42917515002263884,0.8369998685182467
Adventures of Buckaroo Banzai Across the Eighth Dimension,Buckaroo banzai,0.3984157178557438,0.3589377328420704,0.4112340353173435,0.43340686243907295,0.7791583896295392
Adventures of Buckaroo Banzai Across the Eighth Dimension,Penny priddy,0.5463537856807924,0.6562140354351989,0.4782422589728172,0.37021621985455394,0.750778198726471
Adventures of Buckaroo Banzai Across the Eighth Dimension,Perfect tommy,0.5,0.31955790643669246,0.44040869496914725,0.4460403144129167,0.5835194907024904
Adventures of Buckaroo Banzai Across the Eighth Dimension,Rawhide,0.409678867296383,0.3022237923660212,0.4583145490018042,0.41395819546436086,0.7349248849056479
Affliction,Jack,0.5511990150470589,0.3931857063353096,0.4324216720160027,0.462434466835704,0.7620050438814169
Affliction,Wade,0.4767951275363919,0.6491133709667115,0.47725007863428176,0.4468543617282993,0.7350122073619972
After School Special,Ashley,0.6282575530547355,0.3995650530723752,0.4914387495576199,0.41035781713284714,0.7894025205027428
After School Special,Deacon,0.5605261720608716,0.5147071297029308,0.45834562318273653,0.4423543038341407,0.7947557546586097
After School Special,Fred,0.614380940101157,0.39133096285262037,0.45173945243653857,0.4163582729123466,0.7700332744278411
After School Special,Matt,0.583957168611415,0.35684913240323685,0.4102342123798465,0.3710588153872705,0.8210844893357506
AfterLife,Anna,0.36443973761581044,0.713460007251569,0.5108558288502278,0.5,0.8093984315934641
AfterLife,Beatrice,0.42228584453288276,0.6172007578612253,0.4728971185918826,0.429270364674479,0.6823790601371449
AfterLife,Eliot,0.402998355130603,0.5606756847092935,0.5192352984541607,0.4838195063133856,0.8232049152469035
