movie_name,char,cEXT,cNEU,cAGR,cCON,cOPN
Hancock,MARY,0.46187706282159613,0.6022032302009586,0.45281457541483644,0.4017245689573175,0.7829974211755015
Hancock,HANCOCK,0.5079973244665752,0.4356238218220234,0.44431615298592564,0.40326654609670987,0.8392950408679314
Hancock,HORUS,0.39756516097508465,0.5419236441077475,0.475271963423122,0.5,0.7835254752083288
Hancock,AARON,0.4481187226667055,0.589534827504433,0.47792586157239825,0.4522446222742451,0.7952146957776455
Wild-Hogs,DOUG,0.5614378715494984,0.5673970601649787,0.4529120981945468,0.41955626893752684,0.7957212344591931
Wild-Hogs,BOB,0.6214029314037173,0.5131950179175261,0.4841223905903112,0.43574438740481464,0.7644988331450533
Wild-Hogs,WOODY,0.580711608063305,0.5067045197871342,0.3987821809481939,0.4396852660154005,0.7991912148745536
Solaris,KELVIN,0.3894234281081056,0.5,0.45299168588831584,0.3781001029514833,0.8405121575324899
Sunset-Blvd,GILLIS,0.5425600787866803,0.5409599768717621,0.48992876435850274,0.4886563514696642,0.794549172957317
Sunset-Blvd,BETTY,0.4402936157321132,0.4266731109507152,0.4119639266706565,0.43311347798381833,0.8622083339996708
Sunset-Blvd,NORMA,0.5540618347827314,0.5939553527921045,0.47506789907723157,0.4727917648129085,0.8151817309655491
Wonder-Boys,GRADY,0.46475510786220664,0.5628442149029262,0.48963989216173026,0.4833697877776484,0.7874041947673837
Wonder-Boys,JAMES LEER,0.42284271886905783,0.5870666577630637,0.43742703746209965,0.43249923136380986,0.7626491710492522
Wonder-Boys,CRABTREE,0.5560419463906215,0.4465691129171127,0.5,0.48043087228987286,0.7964474997827259
Heat,CHRIS,0.5241085286145236,0.33843912561107115,0.48594216359661757,0.4709551048789463,0.6471633928338681
Heat,HANNA,0.5742447225962335,0.4361911078381137,0.45992636341602444,0.47026173196892856,0.7516592199226985
Heat,NEIL,0.44374054701326826,0.5664261514832186,0.4676024568290686,0.4897826746133903,0.7213455817801914
Heat,NATE,0.4790964225831704,0.386532659332919,0.4937743226258562,0.4804911198420778,0.7209800367998995
Army-of-Darkness,ASH,0.4821888367120292,0.42590613661637045,0.4196528983061564,0.34400909269394975,0.9032600906006676
Army-of-Darkness,ARTHUR,0.5,0.2759187243967753,0.44453866747084525,0.41988140751867065,0.8417627908671246
Army-of-Darkness,WISEMAN JOHN,0.44238350324511183,0.4502491642961917,0.41297418552006554,0.38397568265532783,0.866968016208899
Army-of-Darkness,GOLD TOOTH,0.4515992703652347,0.28865550948162233,0.43505801279170314,0.3649987170816721,0.8216370032027467
Army-of-Darkness,THE SECOND HORSEMAN,0.36705432649475334,0.35675610005868263,0.41100197477189915,0.3642725847919143,0.7351022295934286
Army-of-Darkness,SHEILA,0.4877757189982202,0.42848813841144534,0.5060629038363539,0.38968272855578534,0.8368579954747865
Army-of-Darkness,THE CROWD,0.5,0.26458220069959326,0.3924050306445976,0.41019400178954196,0.8232872401133499
Army-of-Darkness,HENRY,0.4257388258857836,0.2792679263343717,0.4928906012882821,0.451270561059668,0.7515423992083831
Army-of-Darkness,THE WARRIORS,0.4568666329263215,0.31805660807482933,0.4617993900386738,0.39204641493330156,0.7611206109434079
Army-of-Darkness,THE DEADITE,0.49393289974292376,0.330790439532871,0.4350069564466276,0.3213673588055175,0.867869399954136
