y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cEXT,rbf,scale,1.0,0.680725583408823,0.5460990811540192,0.13462650225480388,0.5542054873738996,1.5135612484362082
cEXT,rbf,scale,1.0609973170854323,0.6857913596972928,0.5521763156203816,0.13361504407691116,0.5542054873738996,1.5135612484362082
cEXT,rbf,scale,1.1257153068624854,0.6894641697597421,0.5516687014071836,0.13779546835255851,0.5542054873738996,1.5135612484362082
cEXT,rbf,scale,1.1943809203831013,0.6955432456048933,0.5516738418042795,0.14386940380061386,0.5542054873738996,1.5135612484362082
cEXT,rbf,scale,1.2672349521045,0.7009889290610145,0.5501548544625072,0.15083407459850728,0.5542054873738996,1.5135612484362082
cEXT,rbf,scale,1.3445328842997608,0.7065608741311997,0.5521801709182034,0.15438070321299635,0.5542054873738996,1.5135612484362082
cEXT,rbf,scale,1.4265457829751844,0.7114995871445636,0.5506598984771574,0.16083968866740628,0.5542054873738996,1.5135612484362082
cEXT,rbf,scale,1.5135612484362082,0.7185918022141878,0.5542054873738996,0.1643863148402882,0.5542054873738996,1.5135612484362082
