y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cEXT,linear,scale,1.0,0.6390592507675905,0.5415434042279765,0.09751584653961398,0.5466054102679433,1.5135612484362082
cEXT,linear,scale,1.0609973170854323,0.6443784321113346,0.5420497333419007,0.10232869876943396,0.5466054102679433,1.5135612484362082
cEXT,linear,scale,1.1257153068624854,0.6476709341756118,0.5425586326543725,0.10511230152123929,0.5466054102679433,1.5135612484362082
cEXT,linear,scale,1.1943809203831013,0.6531167779639413,0.5415446893272505,0.11157208863669077,0.5466054102679433,1.5135612484362082
cEXT,linear,scale,1.2672349521045,0.6567891871958699,0.5400244168862044,0.11676477030966548,0.5466054102679433,1.5135612484362082
cEXT,linear,scale,1.3445328842997608,0.6622347103197825,0.5420510184411745,0.120183691878608,0.5466054102679433,1.5135612484362082
cEXT,linear,scale,1.4265457829751844,0.6660337018301921,0.5450889931247189,0.12094470870547314,0.5466054102679433,1.5135612484362082
cEXT,linear,scale,1.5135612484362082,0.6697063515604331,0.5466054102679433,0.12310094129248983,0.5466054102679433,1.5135612484362082
