y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cNEU,linear,auto,1.2589254117941673,0.6702137228337115,0.5856313050183126,0.08458241781539888,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.2798022139979537,0.6705934696691546,0.5851262610036625,0.08546720866549207,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.3010252169108314,0.6707200519476355,0.5841123176765405,0.08660773427109503,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.3226001615907366,0.6718597734505897,0.5846212169890124,0.0872385564615773,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.344532884299761,0.6718597734505896,0.5810756280922701,0.09078414535831947,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.3668293180829263,0.6727464105626859,0.5810756280922701,0.09167078247041582,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.3894954943731377,0.6723665033950346,0.5805680138790721,0.09179848951596248,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.4125375446227544,0.6732530603410266,0.5810743429929961,0.09217871734803051,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.4359617019622146,0.6731265582286496,0.5800591145666003,0.09306744366204933,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.4597743028861678,0.6735064653963011,0.5795527854526762,0.09395367994362491,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.4839817889675653,0.6740131151746418,0.5790464563387522,0.09496665883588962,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.5085907086001784,0.6745198451190868,0.5790464563387522,0.09547338878033462,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.5336077187700117,0.6742665202299164,0.57752746899698,0.09673905123293636,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.5590395868560905,0.6751529168437002,0.57752746899698,0.09762544784672011,0.5856313050183126,1.2589254117941673
cNEU,linear,auto,1.5848931924611136,0.6765459632358246,0.5790464563387522,0.09749950689707243,0.5856313050183126,1.2589254117941673
