y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cNEU,linear,scale,0.1,0.5005065696122365,0.500506329113924,2.4049831248706965e-07,0.590186981944355,0.3
cNEU,linear,scale,0.2,0.5496475898060782,0.5288710402878622,0.020776549518215948,0.590186981944355,0.3
cNEU,linear,scale,0.3,0.6343709766636472,0.590186981944355,0.04418399471929213,0.590186981944355,0.3
cNEU,linear,scale,0.4,0.6343723394874179,0.5896742273340615,0.044698112153356395,0.590186981944355,0.3
cNEU,linear,scale,0.5,0.6381717318283483,0.589681937929705,0.048489793898643274,0.590186981944355,0.3
cNEU,linear,scale,0.6,0.6423511916691385,0.587147722161537,0.055203469507601466,0.590186981944355,0.3
cNEU,linear,scale,0.7,0.6461508245083813,0.5866452483454346,0.059505576162946716,0.590186981944355,0.3
cNEU,linear,scale,0.8,0.6500771197922094,0.586133778834415,0.06394334095779441,0.590186981944355,0.3
cNEU,linear,scale,0.9,0.6548895711915088,0.5881578101908372,0.06673176100067157,0.590186981944355,0.3
cNEU,linear,scale,1.0,0.6594489381999502,0.5856300199190387,0.07381891828091147,0.590186981944355,0.3
