y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cAGR,linear,scale,0.1,0.5309017083396799,0.530901497140654,2.1119902582356076e-07,0.5405256056030329,1
cAGR,linear,scale,0.2,0.5309017083396799,0.530901497140654,2.1119902582356076e-07,0.5405256056030329,1
cAGR,linear,scale,0.3,0.5309017083396799,0.530901497140654,2.1119902582356076e-07,0.5405256056030329,1
cAGR,linear,scale,0.4,0.5315346998981891,0.530901497140654,0.0006332027575350896,0.5405256056030329,1
cAGR,linear,scale,0.5,0.5386259529745633,0.5324217695817002,0.006204183392863105,0.5405256056030329,1
cAGR,linear,scale,0.6,0.554201906349957,0.5263342543211463,0.027867652028810697,0.5405256056030329,1
cAGR,linear,scale,0.7,0.5791510409568627,0.5308950716442845,0.04825596931257814,0.5405256056030329,1
cAGR,linear,scale,0.8,0.5930832685323991,0.5334318576110004,0.059651410921398695,0.5405256056030329,1
cAGR,linear,scale,0.9,0.6079004497318443,0.5390027629634389,0.06889768676840546,0.5405256056030329,1
cAGR,linear,scale,1.0,0.619046103526507,0.5405256056030329,0.07852049792347415,0.5405256056030329,1
