y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cAGR,linear,auto,1.0,0.619046103526507,0.5405256056030329,0.07852049792347415,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.014869629957459,0.6218322764768601,0.5400192764891087,0.08181299998775138,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.02996036580999,0.6218322764768601,0.5405268907023068,0.08130538577455337,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.0452754953204337,0.6247455127023193,0.542550922058729,0.08219459064359025,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.0608183551394486,0.6260118164837543,0.541536978731607,0.08447483775214726,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.0765923315324526,0.6280380949327006,0.541030649617683,0.08700744531501758,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.0926008611173783,0.627784689877426,0.5405256056030329,0.0872590842743931,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.108847431613395,0.6303177784369213,0.541538263830881,0.08877951460604028,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.125335582600765,0.6310774324400157,0.541536978731607,0.08954045370840868,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.142068906292,0.6318373269414226,0.5425496369594551,0.08928768998196746,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.1590510483144822,0.6325973817750379,0.5445762385144253,0.08802114326061261,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.1762857085047236,0.6336106813317193,0.5450825676283493,0.08852811370336999,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.1937766417144364,0.6344969977793989,0.5450825676283493,0.08941443015104966,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.2115276586285884,0.6346236602239841,0.5435635802865771,0.09106007993740695,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.2295426265956224,0.634877225611467,0.5425496369594551,0.09232758865201185,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.2478254704700216,0.6358902846698359,0.5425496369594551,0.09334064771038075,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.2663801734674032,0.6366500990051386,0.541030649617683,0.09561944938745559,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.2852107780323265,0.6377898205080927,0.5415356936323331,0.09625412687575963,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.3043213867190053,0.6393098500092191,0.5425457816616334,0.09676406834758577,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.3237161630851169,0.6399429217338325,0.5435584398894815,0.096384481844351,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.3433993325989002,0.6408295588459287,0.5435571547902075,0.09727240405572124,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.3633751835597434,0.6412093858474759,0.5440634839041316,0.09714590194334427,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.3836480680324597,0.6423492676826383,0.5440647690034055,0.09828449867923283,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.4042224027954555,0.6434891495178009,0.5440634839041316,0.09942566561366928,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.425102670302998,0.645388765522162,0.5450787123305275,0.10031005319163444,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.4462934196617905,0.6465286473573244,0.5471040287862238,0.09942461857110063,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.4677992676220695,0.6479218540816573,0.5465976996722997,0.1013241544093576,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.4896248995834391,0.64931506080599,0.5460926556576495,0.10322240514834047,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.5117750706156623,0.6502012169214612,0.5465976996722997,0.1036035172491615,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.5342546064946287,0.6505813645874252,0.5465976996722997,0.10398366491512556,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.5570684047537309,0.6512146768103511,0.5465976996722997,0.1046169771380514,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.5802214357508702,0.6515947443102107,0.5465964145730258,0.10499832973718493,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.6037187437513303,0.6529881113667519,0.548114116815524,0.10487399455122792,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.6275654480267538,0.6532414362559222,0.5476077877015999,0.10563364855432233,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.6517667439704578,0.6536214235896778,0.5471014585876759,0.10651996500200189,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.6763279042293355,0.6543811577588764,0.546593844374478,0.1077873133843984,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.701254279852589,0.6546344024819426,0.546087515260554,0.10854688722138861,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.7265513014575404,0.6552675543726602,0.545579901047356,0.10968765332530417,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.7522244804127836,0.656027368707963,0.5465925592752041,0.10943480943275885,0.548114116815524,1.6037187437513303
cAGR,linear,auto,1.7782794100389228,0.6564074362078226,0.545578615948082,0.11082882025974061,0.548114116815524,1.6037187437513303
